Módulo,ID,Caso de Teste,Pré-condição,Passos,Resultado Esperado,Prioridade,Status,Observações
Landing Page,LP-01,Navegação e carregamento,Nenhuma,"1. Acessar /
2. Verificar todas as seções (Hero, Como Funciona, Nichos, Dor/Solução, Preços, FAQ, Contato, Footer)",Todas as seções carregam corretamente sem erros visuais,Alta,,
Landing Page,LP-02,Links de navegação,Nenhuma,"1. Clicar em cada item do menu
2. Verificar scroll para a seção correta",Scroll suave para a seção correspondente,Média,,
Landing Page,LP-03,CTA de cadastro,Nenhuma,"1. Clicar no botão 'Começar agora' / CTA principal
2. Verificar redirecionamento para /auth",Redireciona para tela de autenticação,Alta,,
Landing Page,LP-04,Responsividade mobile,Dispositivo mobile,"1. Acessar em tela 375px
2. Verificar menu hamburger
3. Verificar layout de todas as seções",Layout adaptado sem quebras nem overflow,Alta,,
Landing Page,LP-05,SEO e meta tags,Nenhuma,"1. Verificar title tag
2. Verificar meta description
3. Verificar og:image",Tags presentes e corretas,Média,,
Autenticação,AU-01,Cadastro com email válido,Nenhuma,"1. Acessar /auth
2. Preencher nome, email e senha
3. Clicar em Cadastrar",Conta criada + email de confirmação enviado,Crítica,,
Autenticação,AU-02,Cadastro com email duplicado,Email já cadastrado,"1. Tentar cadastrar com email existente
2. Verificar mensagem de erro",Mensagem clara de que email já está em uso,Alta,,
Autenticação,AU-03,Cadastro com senha fraca,Nenhuma,"1. Tentar cadastrar com senha < 6 caracteres
2. Verificar validação",Mensagem de erro sobre requisitos da senha,Alta,,
Autenticação,AU-04,Login com credenciais válidas,Conta confirmada,"1. Inserir email e senha corretos
2. Clicar em Entrar",Redirecionamento para /dashboard ou onboarding,Crítica,,
Autenticação,AU-05,Login com credenciais inválidas,Nenhuma,"1. Inserir email/senha incorretos
2. Clicar em Entrar",Mensagem de erro 'Credenciais inválidas',Alta,,
Autenticação,AU-06,Confirmação de email,Cadastro realizado,"1. Verificar recebimento de email
2. Clicar no link de confirmação
3. Verificar conta ativada",Email confirmado e login habilitado,Crítica,,
Autenticação,AU-07,Reset de senha,Conta existente,"1. Clicar em 'Esqueci minha senha'
2. Inserir email
3. Verificar email recebido
4. Criar nova senha",Senha alterada com sucesso e login funcional,Alta,,
Autenticação,AU-08,Logout,Usuário logado,"1. Clicar em 'Sair'
2. Verificar redirecionamento",Sessão encerrada e redirecionamento para /auth ou /,Alta,,
Onboarding,ON-01,Step 1 - Dados do Negócio,Primeiro login,"1. Preencher nome da loja, endereço, bairro, cidade, estado
2. Selecionar nicho
3. Avançar",Dados salvos corretamente,Crítica,,
Onboarding,ON-02,Step 2 - Horários de Funcionamento,Step 1 completo,"1. Configurar horários para cada dia
2. Marcar dias fechados
3. Avançar",Horários persistidos no banco,Alta,,
